"id","slug","title","difficulty","content"
"26","remove-duplicates-from-sorted-array","Remove Duplicates from Sorted Array","Easy","Given an integer array `nums` sorted in **non-decreasing order**, remove the duplicates [**in-place**](https://en.wikipedia.org/wiki/In-place_algorithm) such that each unique element appears only **once**. The **relative order** of the elements should be kept the **same**. Then return _the number of unique elements in_ `nums`._x000D_
_x000D_
Consider the number of unique elements of `nums` be `k`, to get accepted, you need to do the following things:_x000D_
_x000D_
*   Change the array `nums` such that the first `k` elements of `nums` contain the unique elements in the order they were present in `nums` initially. The remaining elements of `nums` are not important as well as the size of `nums`._x000D_
*   Return `k`._x000D_
_x000D_
**Custom Judge:**_x000D_
_x000D_
The judge will test your solution with the following code:_x000D_
_x000D_
int\[\] nums = \[...\]; // Input array_x000D_
int\[\] expectedNums = \[...\]; // The expected answer with correct length_x000D_
_x000D_
int k = removeDuplicates(nums); // Calls your implementation_x000D_
_x000D_
assert k == expectedNums.length;_x000D_
for (int i = 0; i < k; i++) {_x000D_
    assert nums\[i\] == expectedNums\[i\];_x000D_
}_x000D_
_x000D_
If all assertions pass, then your solution will be **accepted**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,1,2\]_x000D_
**Output:** 2, nums = \[1,2,\_\]_x000D_
**Explanation:** Your function should return k = 2, with the first two elements of nums being 1 and 2 respectively._x000D_
It does not matter what you leave beyond the returned k (hence they are underscores)._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[0,0,1,1,1,2,2,3,3,4\]_x000D_
**Output:** 5, nums = \[0,1,2,3,4,\_,\_,\_,\_,\_\]_x000D_
**Explanation:** Your function should return k = 5, with the first five elements of nums being 0, 1, 2, 3, and 4 respectively._x000D_
It does not matter what you leave beyond the returned k (hence they are underscores)._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 3 * 104`_x000D_
*   `-100 <= nums[i] <= 100`_x000D_
*   `nums` is sorted in **non-decreasing** order."
"27","remove-element","Remove Element","Easy","Given an integer array `nums` and an integer `val`, remove all occurrences of `val` in `nums` [**in-place**](https://en.wikipedia.org/wiki/In-place_algorithm). The order of the elements may be changed. Then return _the number of elements in_ `nums` _which are not equal to_ `val`._x000D_
_x000D_
Consider the number of elements in `nums` which are not equal to `val` be `k`, to get accepted, you need to do the following things:_x000D_
_x000D_
*   Change the array `nums` such that the first `k` elements of `nums` contain the elements which are not equal to `val`. The remaining elements of `nums` are not important as well as the size of `nums`._x000D_
*   Return `k`._x000D_
_x000D_
**Custom Judge:**_x000D_
_x000D_
The judge will test your solution with the following code:_x000D_
_x000D_
int\[\] nums = \[...\]; // Input array_x000D_
int val = ...; // Value to remove_x000D_
int\[\] expectedNums = \[...\]; // The expected answer with correct length._x000D_
                            // It is sorted with no values equaling val._x000D_
_x000D_
int k = removeElement(nums, val); // Calls your implementation_x000D_
_x000D_
assert k == expectedNums.length;_x000D_
sort(nums, 0, k); // Sort the first k elements of nums_x000D_
for (int i = 0; i < actualLength; i++) {_x000D_
    assert nums\[i\] == expectedNums\[i\];_x000D_
}_x000D_
_x000D_
If all assertions pass, then your solution will be **accepted**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[3,2,2,3\], val = 3_x000D_
**Output:** 2, nums = \[2,2,\_,\_\]_x000D_
**Explanation:** Your function should return k = 2, with the first two elements of nums being 2._x000D_
It does not matter what you leave beyond the returned k (hence they are underscores)._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[0,1,2,2,3,0,4,2\], val = 2_x000D_
**Output:** 5, nums = \[0,1,4,0,3,\_,\_,\_\]_x000D_
**Explanation:** Your function should return k = 5, with the first five elements of nums containing 0, 0, 1, 3, and 4._x000D_
Note that the five elements can be returned in any order._x000D_
It does not matter what you leave beyond the returned k (hence they are underscores)._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= nums.length <= 100`_x000D_
*   `0 <= nums[i] <= 50`_x000D_
*   `0 <= val <= 100`"
"28","find-the-index-of-the-first-occurrence-in-a-string","Find the Index of the First Occurrence in a String","Easy","Given two strings `needle` and `haystack`, return the index of the first occurrence of `needle` in `haystack`, or `-1` if `needle` is not part of `haystack`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** haystack =  ""sadbutsad "", needle =  ""sad ""_x000D_
**Output:** 0_x000D_
**Explanation:**  ""sad "" occurs at index 0 and 6._x000D_
The first occurrence is at index 0, so we return 0._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** haystack =  ""leetcode "", needle =  ""leeto ""_x000D_
**Output:** -1_x000D_
**Explanation:**  ""leeto "" did not occur in  ""leetcode "", so we return -1._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= haystack.length, needle.length <= 104`_x000D_
*   `haystack` and `needle` consist of only lowercase English characters."
"29","divide-two-integers","Divide Two Integers","Medium","Given two integers `dividend` and `divisor`, divide two integers **without** using multiplication, division, and mod operator._x000D_
_x000D_
The integer division should truncate toward zero, which means losing its fractional part. For example, `8.345` would be truncated to `8`, and `-2.7335` would be truncated to `-2`._x000D_
_x000D_
Return _the **quotient** after dividing_ `dividend` _by_ `divisor`._x000D_
_x000D_
**Note:** Assume we are dealing with an environment that could only store integers within the **32-bit** signed integer range: `[-231, 231 - 1]`. For this problem, if the quotient is **strictly greater than** `231 - 1`, then return `231 - 1`, and if the quotient is **strictly less than** `-231`, then return `-231`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** dividend = 10, divisor = 3_x000D_
**Output:** 3_x000D_
**Explanation:** 10/3 = 3.33333.. which is truncated to 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** dividend = 7, divisor = -3_x000D_
**Output:** -2_x000D_
**Explanation:** 7/-3 = -2.33333.. which is truncated to -2._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `-231 <= dividend, divisor <= 231 - 1`_x000D_
*   `divisor != 0`"
"30","substring-with-concatenation-of-all-words","Substring with Concatenation of All Words","Hard","You are given a string `s` and an array of strings `words`. All the strings of `words` are of **the same length**._x000D_
_x000D_
A **concatenated substring** in `s` is a substring that contains all the strings of any permutation of `words` concatenated._x000D_
_x000D_
*   For example, if `words = [ ""ab "", ""cd "", ""ef ""]`, then `""abcdef ""`, `""abefcd ""`, `""cdabef ""`, `""cdefab ""`, `""efabcd ""`, and `""efcdab ""` are all concatenated strings. `""acdbef ""` is not a concatenated substring because it is not the concatenation of any permutation of `words`._x000D_
_x000D_
Return _the starting indices of all the concatenated substrings in_ `s`. You can return the answer in **any order**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""barfoothefoobarman "", words = \[ ""foo "", ""bar ""\]_x000D_
**Output:** \[0,9\]_x000D_
**Explanation:** Since words.length == 2 and words\[i\].length == 3, the concatenated substring has to be of length 6._x000D_
The substring starting at 0 is  ""barfoo "". It is the concatenation of \[ ""bar "", ""foo ""\] which is a permutation of words._x000D_
The substring starting at 9 is  ""foobar "". It is the concatenation of \[ ""foo "", ""bar ""\] which is a permutation of words._x000D_
The output order does not matter. Returning \[9,0\] is fine too._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""wordgoodgoodgoodbestword "", words = \[ ""word "", ""good "", ""best "", ""word ""\]_x000D_
**Output:** \[\]_x000D_
**Explanation:** Since words.length == 4 and words\[i\].length == 4, the concatenated substring has to be of length 16._x000D_
There is no substring of length 16 is s that is equal to the concatenation of any permutation of words._x000D_
We return an empty array._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""barfoofoobarthefoobarman "", words = \[ ""bar "", ""foo "", ""the ""\]_x000D_
**Output:** \[6,9,12\]_x000D_
**Explanation:** Since words.length == 3 and words\[i\].length == 3, the concatenated substring has to be of length 9._x000D_
The substring starting at 6 is  ""foobarthe "". It is the concatenation of \[ ""foo "", ""bar "", ""the ""\] which is a permutation of words._x000D_
The substring starting at 9 is  ""barthefoo "". It is the concatenation of \[ ""bar "", ""the "", ""foo ""\] which is a permutation of words._x000D_
The substring starting at 12 is  ""thefoobar "". It is the concatenation of \[ ""the "", ""foo "", ""bar ""\] which is a permutation of words._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 104`_x000D_
*   `1 <= words.length <= 5000`_x000D_
*   `1 <= words[i].length <= 30`_x000D_
*   `s` and `words[i]` consist of lowercase English letters."
"31","next-permutation","Next Permutation","Medium","A **permutation** of an array of integers is an arrangement of its members into a sequence or linear order._x000D_
_x000D_
*   For example, for `arr = [1,2,3]`, the following are all the permutations of `arr`: `[1,2,3], [1,3,2], [2, 1, 3], [2, 3, 1], [3,1,2], [3,2,1]`._x000D_
_x000D_
The **next permutation** of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the **next permutation** of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order)._x000D_
_x000D_
*   For example, the next permutation of `arr = [1,2,3]` is `[1,3,2]`._x000D_
*   Similarly, the next permutation of `arr = [2,3,1]` is `[3,1,2]`._x000D_
*   While the next permutation of `arr = [3,2,1]` is `[1,2,3]` because `[3,2,1]` does not have a lexicographical larger rearrangement._x000D_
_x000D_
Given an array of integers `nums`, _find the next permutation of_ `nums`._x000D_
_x000D_
The replacement must be **[in place](http://en.wikipedia.org/wiki/In-place_algorithm)** and use only constant extra memory._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,2,3\]_x000D_
**Output:** \[1,3,2\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[3,2,1\]_x000D_
**Output:** \[1,2,3\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[1,1,5\]_x000D_
**Output:** \[1,5,1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 100`_x000D_
*   `0 <= nums[i] <= 100`"
"32","longest-valid-parentheses","Longest Valid Parentheses","Hard","Given a string containing just the characters `'('` and `')'`, return _the length of the longest valid (well-formed) parentheses_ _substring_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""(() ""_x000D_
**Output:** 2_x000D_
**Explanation:** The longest valid parentheses substring is  ""() ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  "")()()) ""_x000D_
**Output:** 4_x000D_
**Explanation:** The longest valid parentheses substring is  ""()() ""._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  "" ""_x000D_
**Output:** 0_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= s.length <= 3 * 104`_x000D_
*   `s[i]` is `'('`, or `')'`."
"33","search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","There is an integer array `nums` sorted in ascending order (with **distinct** values)._x000D_
_x000D_
Prior to being passed to your function, `nums` is **possibly rotated** at an unknown pivot index `k` (`1 <= k < nums.length`) such that the resulting array is `[nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]]` (**0-indexed**). For example, `[0,1,2,4,5,6,7]` might be rotated at pivot index `3` and become `[4,5,6,7,0,1,2]`._x000D_
_x000D_
Given the array `nums` **after** the possible rotation and an integer `target`, return _the index of_ `target` _if it is in_ `nums`_, or_ `-1` _if it is not in_ `nums`._x000D_
_x000D_
You must write an algorithm with `O(log n)` runtime complexity._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[4,5,6,7,0,1,2\], target = 0_x000D_
**Output:** 4_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[4,5,6,7,0,1,2\], target = 3_x000D_
**Output:** -1_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[1\], target = 0_x000D_
**Output:** -1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 5000`_x000D_
*   `-104 <= nums[i] <= 104`_x000D_
*   All values of `nums` are **unique**._x000D_
*   `nums` is an ascending array that is possibly rotated._x000D_
*   `-104 <= target <= 104`"
"34","find-first-and-last-position-of-element-in-sorted-array","Find First and Last Position of Element in Sorted Array","Medium","Given an array of integers `nums` sorted in non-decreasing order, find the starting and ending position of a given `target` value._x000D_
_x000D_
If `target` is not found in the array, return `[-1, -1]`._x000D_
_x000D_
You must write an algorithm with `O(log n)` runtime complexity._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[5,7,7,8,8,10\], target = 8_x000D_
**Output:** \[3,4\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[5,7,7,8,8,10\], target = 6_x000D_
**Output:** \[-1,-1\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[\], target = 0_x000D_
**Output:** \[-1,-1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= nums.length <= 105`_x000D_
*   `-109 <= nums[i] <= 109`_x000D_
*   `nums` is a non-decreasing array._x000D_
*   `-109 <= target <= 109`"
"35","search-insert-position","Search Insert Position","Easy","Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order._x000D_
_x000D_
You must write an algorithm with `O(log n)` runtime complexity._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,3,5,6\], target = 5_x000D_
**Output:** 2_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[1,3,5,6\], target = 2_x000D_
**Output:** 1_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[1,3,5,6\], target = 7_x000D_
**Output:** 4_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 104`_x000D_
*   `-104 <= nums[i] <= 104`_x000D_
*   `nums` contains **distinct** values sorted in **ascending** order._x000D_
*   `-104 <= target <= 104`"
"36","valid-sudoku","Valid Sudoku","Medium","Determine if a `9 x 9` Sudoku board is valid. Only the filled cells need to be validated **according to the following rules**:_x000D_
_x000D_
1.  Each row must contain the digits `1-9` without repetition._x000D_
2.  Each column must contain the digits `1-9` without repetition._x000D_
3.  Each of the nine `3 x 3` sub-boxes of the grid must contain the digits `1-9` without repetition._x000D_
_x000D_
**Note:**_x000D_
_x000D_
*   A Sudoku board (partially filled) could be valid but is not necessarily solvable._x000D_
*   Only the filled cells need to be validated according to the mentioned rules._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** board = _x000D_
\[\[ ""5 "", ""3 "", "". "", "". "", ""7 "", "". "", "". "", "". "", "". ""\]_x000D_
,\[ ""6 "", "". "", "". "", ""1 "", ""9 "", ""5 "", "". "", "". "", "". ""\]_x000D_
,\[ "". "", ""9 "", ""8 "", "". "", "". "", "". "", "". "", ""6 "", "". ""\]_x000D_
,\[ ""8 "", "". "", "". "", "". "", ""6 "", "". "", "". "", "". "", ""3 ""\]_x000D_
,\[ ""4 "", "". "", "". "", ""8 "", "". "", ""3 "", "". "", "". "", ""1 ""\]_x000D_
,\[ ""7 "", "". "", "". "", "". "", ""2 "", "". "", "". "", "". "", ""6 ""\]_x000D_
,\[ "". "", ""6 "", "". "", "". "", "". "", "". "", ""2 "", ""8 "", "". ""\]_x000D_
,\[ "". "", "". "", "". "", ""4 "", ""1 "", ""9 "", "". "", "". "", ""5 ""\]_x000D_
,\[ "". "", "". "", "". "", "". "", ""8 "", "". "", "". "", ""7 "", ""9 ""\]\]_x000D_
**Output:** true_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** board = _x000D_
\[\[ ""8 "", ""3 "", "". "", "". "", ""7 "", "". "", "". "", "". "", "". ""\]_x000D_
,\[ ""6 "", "". "", "". "", ""1 "", ""9 "", ""5 "", "". "", "". "", "". ""\]_x000D_
,\[ "". "", ""9 "", ""8 "", "". "", "". "", "". "", "". "", ""6 "", "". ""\]_x000D_
,\[ ""8 "", "". "", "". "", "". "", ""6 "", "". "", "". "", "". "", ""3 ""\]_x000D_
,\[ ""4 "", "". "", "". "", ""8 "", "". "", ""3 "", "". "", "". "", ""1 ""\]_x000D_
,\[ ""7 "", "". "", "". "", "". "", ""2 "", "". "", "". "", "". "", ""6 ""\]_x000D_
,\[ "". "", ""6 "", "". "", "". "", "". "", "". "", ""2 "", ""8 "", "". ""\]_x000D_
,\[ "". "", "". "", "". "", ""4 "", ""1 "", ""9 "", "". "", "". "", ""5 ""\]_x000D_
,\[ "". "", "". "", "". "", "". "", ""8 "", "". "", "". "", ""7 "", ""9 ""\]\]_x000D_
**Output:** false_x000D_
**Explanation:** Same as Example 1, except with the **5** in the top left corner being modified to **8**. Since there are two 8's in the top left 3x3 sub-box, it is invalid._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `board.length == 9`_x000D_
*   `board[i].length == 9`_x000D_
*   `board[i][j]` is a digit `1-9` or `'.'`."
